MSSV,Họ và tên, Kiểm tra 15 phút, Kiểm tra 1 tiết, Kiểm tra học kỳ.
2110026,Đỗ Hữu Ðịnh, 8, 7, 9
2110027,Lê Tú Tâm, 8, 7, 9
2110028,Bùi Hải Long, 8, 7, 9
2110029,Đỗ Danh Sơn, 8, 7, 9
2110030,Trần Minh Hào, 8, 7, 9
2110031,Nguyễn Tuấn Vũ, 8, 7, 9
2110032,Lê Thanh Tâm, 8, 7, 9
2110033,Đỗ Minh Quân, 8, 7, 9
2110034,Nguyễn Hiếu Phong, 8, 7, 9
2110035,Lê Thanh Thảo, 8, 7, 9
2110036,Nguyễn Thanh Uyên, 8, 7, 9
2110037,Bùi Công Tuấn, 8, 7, 9
2110038,Nguyễn Ngọc Hiển, 8, 7, 9
2110039,Nguyễn Ái Thy, 8, 7, 9
2110040,Trần Hoài Tín, 8, 7, 9
2110041,Nguyễn Bảo Long, 8, 7, 10
2110042,Phạm Quỳnh Tiên, 8, 7, 9
2110043,Lê Anh Thy, 8, 7, 9
2110044,Nguyễn Tường Nguyên, 8, 10, 9
2110045,Nguyễn Minh Vân, 8, 7, 9
2110046,Lê Thu Hà, 8, 7, 9
2110047,Nguyễn Quang Danh, 8, 7, 9
2110048,Nguyễn Linh Đan, 8, 7, 9
