Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
1,Nguyễn Lien, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Trần Thiên Ân, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Đỗ Hoàng Dũng, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Nguyệt Cầm, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Chí Công, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Nam Phương, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Phúc Hưng, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Lê Gia Hân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Phạm Tố Loan, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Bùi Lâm Dũng, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Trần Hưng Ðạo, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Lê Minh Ngân, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Lê Vân Anh, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Trần Thành Nguyên, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Phạm Trần Tuyền, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Đỗ Công Bằng, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Nguyễn Bảo Tiên, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Phạm Anh Thi, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Yến Ðan, Nữ, 14/03/2006, Hoài Ân-Bình Định
1,Nguyễn Vân Khanh, Nữ, 20/10/2006, Hoài Ân-Bình Định
1,Nguyễn Trường Nhân, Nam, 10/10/2006, Hoài Ân-Bình Định
1,Nguyễn Trường An, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Bùi Hữu Hạnh, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Bùi Tuấn Khang, Nam, 23/02/2006, Hoài Ân-Bình Định
1,Lê Thương Huyền, Nữ, 20/10/2006, Hoài Ân-Bình Định
