Stt,Họ và tên, Giới tính, Ngày sinh(dd/mm/yyyy), Địa chỉ
Bùi Quang Thắng, Nam, 23/02/2006, Hoài Ân-Bình Định
Nguyễn Tuấn Thành, Nam, 10/10/2006, Hoài Ân-Bình Định
Nguyễn Đức Cao, Nam, 10/10/2006, Hoài Ân-Bình Định
Bùi Việt Phương, Nam, 23/02/2006, Hoài Ân-Bình Định
Trần Ngọc Khang, Nam, 10/10/2006, Hoài Ân-Bình Định
Bùi Quang Tú, Nam, 23/02/2006, Hoài Ân-Bình Định
Nguyễn Quang Khải, Nam, 10/10/2006, Hoài Ân-Bình Định
Lê Vân Thúy, Nữ, 20/10/2006, Hoài Ân-Bình Định
Lê Tùy Anh, Nữ, 20/10/2006, Hoài Ân-Bình Định
Trần Quang Thái, Nam, 10/10/2006, Hoài Ân-Bình Định
Nguyễn Ðông Hải, Nam, 23/02/2006, Hoài Ân-Bình Định
Lê Bình Yên, Nữ, 20/10/2006, Hoài Ân-Bình Định
Nguyễn Thạch Thảo, Nữ, 20/10/2006, Hoài Ân-Bình Định
Nguyễn Hồng Quế, Nữ, 20/10/2006, Hoài Ân-Bình Định
Nguyễn Hữu Lương, Nam, 10/10/2006, Hoài Ân-Bình Định
Nguyễn Lien, Nữ, 20/10/2006, Hoài Ân-Bình Định
Trần Thiên Ân, Nam, 10/10/2006, Hoài Ân-Bình Định
Đỗ Hoàng Dũng, Nam, 23/02/2006, Hoài Ân-Bình Định
Nguyễn Nguyệt Cầm, Nữ, 20/10/2006, Hoài Ân-Bình Định
Nguyễn Chí Công, Nam, 10/10/2006, Hoài Ân-Bình Định
Nguyễn Nam Phương, Nam, 23/02/2006, Hoài Ân-Bình Định
Nguyễn Phúc Hưng, Nam, 10/10/2006, Hoài Ân-Bình Định
Lê Gia Hân, Nữ, 20/10/2006, Hoài Ân-Bình Định
Phạm Tố Loan, Nữ, 14/03/2006, Hoài Ân-Bình Định
Bùi Lâm Dũng, Nam, 23/02/2006, Hoài Ân-Bình Định
Trần Hưng Ðạo, Nam, 10/10/2006, Hoài Ân-Bình Định
Lê Minh Ngân, Nữ, 20/10/2006, Hoài Ân-Bình Định
Lê Vân Anh, Nữ, 20/10/2006, Hoài Ân-Bình Định
Trần Thành Nguyên, Nam, 10/10/2006, Hoài Ân-Bình Định
Phạm Trần Tuyền, Nữ, 14/03/2006, Hoài Ân-Bình Định
